Time,PPV_NOOYC,HOSE_DSXOXF,HOSE_DNXOXF,HOSE_DSXAXF,HOSE_DNXAXX,HOSE_IXXAXX,HOSE_IXAOXX,FIRE_FA2S1C1NCX1_1,FIRE_FA2S1C1NCX1_2,FIRE_FA2S1C1NCX1_3,Test_1_East_062514,Test_2_East_062514,Test_3_East_062514,Test_4_East_062514,Test_5_East_062614,Test_6_East_062614,Test_7_East_062714,Test_8_East_062714,Test_9_East_062714,Test_10_East_062714,Test_11_East_062714,Test_12_East_062914,Test_13_East_062914,Test_14_West_063014,Test_15_West_063014,Test_16_West_063014,Test_17_West_063014,Test_17b_West_063014,Test_18_West_063014,Test_19_West_063014,Test_20_West_063014,Test_21_East_070114,Test_22_West_070214,Test_23_West_070214,Test_24_West_070214,Test_25_West_070214,Test_26_East_070714,Test_27_West_070814,Test_28_East_070814,Test_29_West_071014
1080,,,,,,,Fixed wide fog at Room A,,,,,,,,,,,,,,,,,,,,,,,,,,1st floor CD door opened,1st flood A door opened,,,,,,
1110,,,,,,,Wide fog rotated left at Room A,,,"Monitor on, wide fog, 95 gpm",,,,,,CD door opened,,,,,,,,,,,,,,,,,,,,,,,,
1140,,,,,,,Water flow stopped,,"Monitor on, narrow fog, 95 gpm",,,,Center burner off,Center burner off,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water off,,,,,,,,
1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fan on,,,,,,,
1170,,,,,,,,Monitor off,,,,,,,,,,,,,,,,,,,,,,,,,,Fan on,,,,,,
1200,,,,,Fixed narrow fog stream at Room C ceiling,,,,Monitor off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,,,,,,,,,,,,,,,CD door opened,,,,,,,,,,,,,,,,,,,,,,,,,
1211,,,,,,,,,,,,,,,,CD door closed,,,,,,,,,,,,,,,,,,,,,,,,
1224,,,,,,,,,,,,,,,,BC door closed,,,,,,,,,,,,,,,,,,,,,,,,
