s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 2.6500330E+002, 1.0345387E+004,-3.8531739E+003,-6.3539410E+003,-1.2264424E+002,-8.3974174E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4131630E+000, 1.4788479E+001, 7.5457317E-001
 2.6600052E+002, 1.0746425E+004,-4.0133536E+003,-6.6058823E+003,-1.2397481E+002,-7.9945701E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.5387665E+000, 2.4146449E+000, 7.5457317E-001
 2.6700464E+002, 9.8893246E+003,-3.6374955E+003,-6.1611130E+003,-1.2476001E+002,-7.7795890E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5254583E+001,-3.4821850E+001, 7.5457317E-001
 2.6800095E+002, 9.7933074E+003,-3.5676487E+003,-6.1241138E+003,-1.1551231E+002,-8.1440366E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9092158E+001,-1.4781763E+001, 7.5457317E-001
 2.6900208E+002, 9.9600704E+003,-3.6936559E+003,-6.0716584E+003,-1.1494579E+002,-7.3938073E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6494633E+001, 7.9070940E+001, 7.5457317E-001
 2.7000052E+002, 1.0308318E+004,-3.8162762E+003,-6.3510015E+003,-1.0806202E+002,-6.3562507E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5928195E+001, 3.2342869E+001, 7.5457317E-001
 2.7100204E+002, 1.0035789E+004,-3.6873787E+003,-6.2557221E+003,-1.1319007E+002,-7.1284636E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8925448E+001,-2.1214409E+001, 7.5457317E-001
 2.7200217E+002, 1.0300325E+004,-3.7819200E+003,-6.3806252E+003,-1.2138614E+002,-9.2615757E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4237582E+000, 1.5467257E+001, 7.5457317E-001
 2.7300226E+002, 9.9536956E+003,-3.6352751E+003,-6.2222046E+003,-1.1099820E+002,-7.4946447E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2296274E+001,-1.5531747E+001, 7.5457317E-001
 2.7400092E+002, 9.8736975E+003,-3.6287629E+003,-6.1158340E+003,-1.0403684E+002,-7.2438811E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.5857833E+000, 2.4339351E+001, 7.5457317E-001
