Time (s),TC1_0-3mBC,TC1_0-61mBC,TC1_0-91mBC,TC1_1-22mBC,TC1_1-52mBC,TC1_1-83mBC,TC2_0-3mBC,TC2_0-61mBC,TC2_0-91mBC,TC2_1-22mBC,TC2_1-52mBC,TC2_1-83mBC,TC3_0-3mBC,TC3_0-61mBC,TC3_0-91mBC,TC3_1-22mBC,TC3_1-52mBC,TC3_1-83mBC,TC4_0-3mBC,TC4_0-61mBC,TC4_0-91mBC,TC4_1-22mBC,TC4_1-52mBC,TC4_1-83mBC,Event,Comment
49,19.870305,19.790452,19.965351,20.068328,19.866315,19.511744,20.255288,20.057663,20.121915,19.979816,19.963066,20.028293,20.332054,20.13746,19.797408,19.561882,19.873406,19.465931,19.873259,19.840837,19.539291,19.57522,19.402837,19.313194,0.000433,
50,19.908244,19.828443,20.003327,20.068328,19.866315,19.587689,20.331207,20.095633,20.159877,20.017757,20.03896,20.028293,20.332054,20.13746,19.721479,19.561882,19.835461,19.427937,19.835281,19.764911,19.425336,19.57522,19.402837,19.351183,0.00028,
51,19.875888,19.834026,20.046885,20.07391,19.871898,19.631243,20.298829,20.101216,20.203419,19.985399,19.968649,19.957985,20.299685,20.21894,19.727063,19.567466,19.841044,19.509509,19.802885,19.846421,19.506892,19.542835,19.408422,19.318779,0.000128,
52,19.908244,19.790452,20.003327,20.144239,19.828356,19.511744,20.293248,20.057663,20.121915,19.90393,19.963066,20.066236,20.294104,20.13746,19.759444,19.523907,19.835461,19.389941,19.797301,19.840837,19.501307,19.49928,19.516773,19.351183,0.000128,
53,19.870305,19.828443,19.927373,20.106284,19.866315,19.625659,20.369164,20.095633,20.121915,19.941874,19.963066,20.066236,20.294104,20.13746,19.797408,19.561882,19.835461,19.427937,19.835281,19.840837,19.463322,19.53725,19.478795,19.389172,-2.49E-05,
54,19.913827,19.872016,20.00891,20.07391,19.871898,19.631243,20.298829,20.063245,20.127497,19.947456,20.006596,20.071819,20.299685,20.143042,19.802992,19.567466,19.878989,19.433522,19.802885,19.846421,19.506892,19.65674,19.446402,19.280789,0.000433,
55,19.837948,19.834026,19.970934,20.07391,19.795979,19.631243,20.336788,20.101216,20.127497,19.985399,20.006596,20.109761,20.261734,20.143042,19.802992,19.567466,19.841044,19.433522,19.878842,19.808458,19.544876,19.580804,19.370442,19.318779,-2.49E-05,
56,19.826781,19.82286,19.997745,20.062746,19.822772,19.582104,20.287667,20.090052,20.040406,20.012175,19.919534,20.022711,20.326473,20.131879,19.753861,19.518322,19.867823,19.49834,19.829697,19.759328,19.457737,19.493695,19.397252,19.307608,0.000128,
57,19.870305,19.752459,20.003327,20.068328,19.866315,19.663628,20.40712,20.01969,20.121915,20.017757,20.001014,20.066236,20.294104,20.213358,19.759444,19.599855,19.797515,19.465931,19.835281,19.764911,19.501307,19.53725,19.364856,19.313194,0.00028,
58,19.881471,19.8776,19.976516,20.117448,19.839523,19.674797,20.418282,20.106798,20.095117,19.990982,19.974232,20.077401,20.343216,20.148624,19.808575,19.573051,19.884572,19.401112,19.884425,19.889965,19.512477,19.54842,19.451987,19.324365,0.00028,
59,19.91941,19.801619,20.052467,20.079492,19.877481,19.636828,20.342369,19.992883,20.171041,20.028923,20.012179,20.077401,20.343216,20.186573,19.808575,19.573051,19.884572,19.401112,19.884425,19.814042,19.55046,19.586389,19.414008,19.324365,0.000433,
60,19.913827,19.834026,19.970934,20.07391,19.871898,19.669212,20.412701,20.101216,20.089534,19.985399,19.968649,20.033875,20.375584,20.105092,19.840954,19.567466,19.841044,19.395526,19.878842,19.808458,19.430921,19.618773,19.446402,19.394757,0.000433,
61,19.908244,19.904422,20.003327,20.106284,19.790395,19.663628,20.293248,20.133603,20.159877,19.941874,19.925117,20.066236,20.332054,20.13746,19.797408,19.599855,19.835461,19.389941,19.873259,19.878798,19.463322,19.49928,19.364856,19.275203,0.00028,
62,19.951764,19.872016,19.970934,20.149821,19.833939,19.70718,20.336788,20.101216,20.089534,20.02334,19.9307,20.109761,20.337635,20.105092,19.765028,19.491516,19.878989,19.433522,19.916818,19.846421,19.468907,19.542835,19.33246,19.280789,0.000433,
63,19.913827,19.796035,20.046885,20.07391,19.833939,19.669212,20.374745,20.063245,20.05157,19.985399,19.968649,20.033875,20.413532,20.180992,19.765028,19.567466,19.765151,19.433522,19.878842,19.808458,19.468907,19.542835,19.408422,19.280789,0.000433,
64,19.924993,19.883183,19.9821,20.085075,19.921022,19.718349,20.385907,20.11238,20.176623,19.958622,19.979815,20.082983,20.348797,20.116257,19.738231,19.578636,19.814266,19.482687,19.890009,19.857588,19.518062,19.516035,19.419593,19.329951,0.000433,
65,19.951764,19.910005,20.00891,20.07391,19.795979,19.745147,20.336788,20.101216,20.089534,19.985399,20.044543,20.033875,20.375584,20.105092,19.802992,19.60544,19.841044,19.433522,19.878842,19.770495,19.392934,19.504864,19.370442,19.280789,0.00028,
66,19.91941,19.8776,19.976516,20.155403,19.839523,19.750731,20.380326,20.106798,20.095117,20.028923,20.012179,20.001514,20.343216,20.148624,19.808575,19.573051,19.808682,19.401112,19.884425,19.814042,19.474492,19.586389,19.376027,19.324365,0.000128,
67,19.913827,19.872016,19.970934,20.149821,19.871898,19.70718,20.298829,20.063245,20.127497,19.985399,19.9307,20.033875,20.337635,20.105092,19.802992,19.567466,19.841044,19.433522,19.840864,19.846421,19.506892,19.542835,19.294476,19.318779,0.000128,
68,20.000866,19.959159,20.05805,20.198939,19.845106,19.718349,20.385907,19.998466,20.100699,20.034505,19.979815,20.007097,20.272897,20.192156,19.814159,19.578636,19.852211,19.482687,19.890009,19.781663,19.480078,19.554005,19.381613,19.329951,0.000128,
69,20.000866,19.845194,20.020075,20.198939,19.883065,19.756315,20.309992,20.11238,20.138662,19.996565,19.979815,20.082983,20.424693,20.078305,19.814159,19.578636,19.852211,19.444693,19.890009,19.895548,19.480078,19.516035,19.381613,19.253969,-2.49E-05,
70,20.027636,19.910005,20.046885,20.111866,19.909856,19.783112,20.26087,20.101216,20.127497,20.02334,19.9307,19.995931,20.337635,20.143042,19.765028,19.567466,19.765151,19.471516,19.878842,19.808458,19.430921,19.542835,19.370442,19.318779,-2.49E-05,
71,19.957347,19.8776,20.014492,20.117448,19.915439,19.82666,20.266451,20.030856,20.171041,19.953039,20.050125,20.039458,20.343216,20.072723,19.770612,19.573051,19.808682,19.477101,19.922401,19.852004,19.436506,19.472478,19.338045,19.286375,0.00028,
72,19.91941,19.83961,20.052467,20.155403,19.877481,19.82666,20.380326,20.068827,20.171041,20.066862,19.974232,20.039458,20.381165,20.148624,19.808575,19.611024,19.846628,19.401112,19.922401,19.852004,19.474492,19.510449,19.338045,19.324365,0.00028,
73,19.957347,19.763627,20.052467,20.117448,19.839523,19.82666,20.418282,20.144767,20.133079,20.066862,19.974232,20.039458,20.343216,20.110674,19.884499,19.573051,19.770735,19.439107,19.846447,19.852004,19.436506,19.54842,19.376027,19.286375,0.00028,
