Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,,North Heat Flux,South Heat Flux,Average HF
132,807.2197226,864.6274709,806.1881814,720.6501474,644.0799447,532.6658226,458.802045,381.5848021,319.78273,263.6537504,249.1534648,209.7597334,,1.670820993,2.262905638,1.966863316
133,806.7020355,861.5952257,796.0218767,710.8703581,643.5718148,525.5890688,453.8160008,375.7797786,319.0563389,264.1187487,243.8822925,207.2354717,,1.822438143,2.279689979,2.051064061
134,819.9155685,863.3689229,786.0639457,711.1876356,658.2319969,536.2885865,464.881233,386.6581822,333.4000579,283.4427461,254.2885837,214.9784069,,1.964958264,2.144787799,2.054873032
135,800.821642,861.3831412,801.3347085,712.2385031,643.7391913,523.4467137,447.6228889,376.8666369,324.225743,278.4459212,251.3590388,215.827148,,2.017518876,2.16314077,2.090329823
136,788.8190727,850.0696587,793.5643353,713.253564,653.4106326,540.9075088,452.719007,375.8543801,319.1214178,269.7348108,245.6720345,207.7232817,,1.976076855,2.123297568,2.049687212
137,797.2469136,826.8934024,770.1551024,687.4148512,639.297478,529.2943262,446.2643086,365.8957738,311.4318528,262.1181576,240.866673,201.8607566,,1.871966412,2.109964213,1.990965313
138,795.6406567,830.3644617,763.938518,683.5106686,627.4200039,517.9133816,432.5808807,354.0241305,300.1805093,253.7326585,234.8124782,199.7645968,,1.895214375,2.151846634,2.023530505
139,788.8552671,815.1844149,758.6322826,670.7870313,614.9131857,513.2572963,425.0905541,349.6322219,295.2280314,248.8423153,229.2843057,197.4117082,,1.842653763,2.174748632,2.008701198
140,798.6097723,820.1678506,749.6660283,663.7524832,594.5129749,500.4079136,417.528518,348.9227374,291.0593582,242.5562956,225.8952114,195.5662749,,1.839284493,2.260082104,2.049683299
141,811.7786083,838.28837,760.9005671,677.0347462,605.4602362,500.2887795,407.9898109,341.1907972,284.7155708,241.2589713,224.5414114,192.0573764,,1.90026828,2.295219416,2.097743848
142,812.9368563,836.0752105,765.6042764,676.2348744,619.4904782,511.5335844,417.3821725,349.047476,297.4076104,248.5194662,229.4089346,193.3922724,,1.8194058,2.260709556,2.040057678
143,797.0970608,806.2132175,744.7787171,661.2835775,614.7696717,505.7587618,412.8742054,346.277584,295.7428273,253.9671929,235.676358,197.6261693,,1.790767005,2.240631092,2.015699049
144,775.6259198,767.5279705,707.586193,624.4276173,597.386378,496.3374203,403.5008905,343.211431,288.5732826,247.2468448,228.9082683,192.0237919,,1.764486699,2.331297906,2.047892303
145,794.0662831,747.7774374,685.2783276,603.7450594,573.1942381,472.6500453,387.6300321,330.4321452,282.96038,240.9429773,224.8857426,186.6696958,,1.771562166,2.430121596,2.100841881
146,772.2132211,742.5603653,692.7327925,610.2082077,571.71513,468.1070447,387.8670658,327.9001918,283.9921195,239.1289954,220.9616399,185.4805017,,1.821090435,2.439533376,2.130311906
147,763.106041,723.7173141,672.4334025,598.4694671,555.2680949,456.7435194,381.4766282,323.4898666,279.2244474,237.3489341,220.9195316,186.4229001,,1.714284576,2.376631313,2.045457945
148,763.3024914,740.6115793,684.4465784,601.256973,564.7083843,462.3953877,395.0673405,327.064578,283.6158667,238.7748414,222.1318424,188.6698349,,1.78908237,2.254591899,2.021837135
149,791.2556982,771.9793445,714.01893,625.6342456,596.6567362,471.1087571,399.4153691,328.8009276,286.8094074,247.9405372,225.56958,193.4870294,,1.726413948,2.32000377,2.023208859
150,806.0111527,804.4929076,749.1530687,665.905647,637.3095507,501.1374402,426.4212378,351.6579628,299.5385778,256.0622844,234.9858064,204.707379,,1.722033897,2.196709452,1.959371675
151,816.6403638,823.6741185,779.3171081,692.4974714,661.3426314,523.514261,434.0324985,358.1282074,300.6197127,257.7367964,239.2472875,211.3026315,,1.755726597,2.146356429,1.951041513
152,810.9438982,828.5939288,785.6757441,693.3207237,666.4326876,538.5173909,438.8847987,368.0126081,299.2860268,256.4808298,245.80949,215.8206944,,1.767182115,2.132866211,1.950024163
153,817.3913466,822.3908353,783.0537851,693.9961975,669.4596682,553.8096981,448.5854728,385.717622,309.6008443,255.7628111,240.8344415,204.5752488,,1.807276428,2.14117995,1.974228189
154,809.9246286,825.6176022,784.2148408,703.140214,671.4403697,559.0588833,465.4290474,401.58179,330.0546415,271.1878626,255.7206893,213.9295195,,1.73517405,2.079689654,1.907431852
155,810.2789871,835.2762232,776.8516931,686.4982784,658.2540397,554.2307923,462.1274299,392.1997047,331.8758095,275.3421384,257.7813141,213.7731291,,1.748988057,2.149179963,1.94908401
156,820.5924895,854.4944475,796.2534013,698.0088645,659.2654326,557.6546666,459.0546628,384.5941071,324.8649958,272.716773,251.2336576,207.5095423,,1.792114713,2.23843501,2.015274862
157,822.6874895,839.5475368,789.5522912,701.6737208,662.5999118,558.6268132,452.1225565,372.6155556,317.2194273,262.4798934,246.717389,205.2463612,,1.712936868,2.171925098,1.942430983
158,815.1674852,810.8486484,768.5580483,677.0759739,640.0263739,539.6767253,443.5043961,367.6289291,307.7588752,255.6676562,242.8378368,204.8372228,,1.733152488,2.149650552,1.94140152
159,813.9971025,806.8925476,755.1562967,659.3423009,620.2684348,522.9344584,438.1339295,368.0442986,307.5015357,259.1491983,243.8790836,206.1847272,,1.846023033,2.179140796,2.012581915
160,814.9596514,807.2242971,753.4354507,635.2002267,600.1080266,506.9283035,426.8143812,359.9285312,305.1734597,257.0991179,243.1155487,204.650283,,1.927559367,2.132081896,2.029820632
161,813.655413,803.8341011,742.6253729,632.4428477,601.2650255,504.2902725,418.8298748,350.1757902,298.911697,250.872743,236.2711822,199.7765863,,1.86320631,2.068552381,1.965879346
162,827.4133171,793.4755367,727.5393428,613.9040066,582.6208324,486.8228024,405.6958284,335.776482,285.8800101,242.3993659,232.1065376,199.4201864,,1.770214458,2.205964369,1.988089414
163,815.7064791,775.1010451,713.5924875,602.0615187,575.3958983,472.1299587,394.4932331,325.5048943,277.4418902,238.3462317,226.3024096,196.9448818,,1.599392469,2.317180236,1.958286353
164,809.1972806,767.7469477,708.0343294,592.9306175,584.7763038,475.202236,392.0921377,327.089845,276.0003539,233.7287018,222.436533,192.6491147,,1.695416664,2.372239149,2.033827907
165,805.244763,784.7389234,739.7904053,613.8945238,611.1872075,497.626087,409.6936066,334.6709737,280.803091,237.6900488,224.5609751,193.1470945,,1.720349262,2.222905573,1.971627418
166,806.7069887,808.7119855,755.1255356,634.7489285,621.7799883,515.3611618,424.2586768,353.3577243,294.8371445,246.1214273,235.4103293,199.2198994,,1.81266726,2.238121284,2.025394272
167,811.9622436,802.2517447,745.9234687,628.6590651,599.5350664,500.6925163,421.2335978,353.4285441,299.6713508,249.061732,235.2479625,196.9459542,,1.734163269,2.299297854,2.016730562
168,798.9114392,788.2646069,725.7874323,629.0189609,587.0331864,478.5337034,403.2955325,346.5909703,296.0301411,245.2091701,229.9083207,194.5527585,,1.764823626,2.26667035,2.015746988
169,804.307431,796.9649444,715.6977952,615.9427427,581.4715966,471.1412509,388.9544833,332.0165017,284.9108372,239.0775907,223.5056579,189.994575,,1.810645698,2.317180236,2.063912967
170,791.5608018,800.9149726,721.7253945,623.9096129,582.5617206,467.9198371,387.6987431,327.7552363,280.7846347,235.5387514,221.2041285,187.2074586,,1.842653763,2.270435062,2.056544413
171,817.9116154,822.7589763,746.1328846,647.2658285,605.4074694,495.5098668,413.7297517,343.735772,294.9291553,242.7714645,227.742517,193.120549,,1.799864034,2.253493858,2.026678946
172,826.580916,844.1079723,775.1444817,675.8899791,634.052539,522.1379503,427.31542,356.2899993,307.3350751,251.4622602,236.2068938,204.2181167,,1.772572947,2.191689836,1.982131392
173,821.9839523,853.0276408,807.3435765,723.3473185,685.8172405,579.1902256,480.1685031,395.9967414,341.1644213,282.3700496,260.9398714,222.8197914,,1.845686106,2.048944506,1.947315306
174,824.7088854,861.1831026,821.640217,718.5940371,672.0518829,567.3304482,478.6733999,390.2115227,341.5476985,278.620108,261.045149,224.0781974,,1.735510977,2.161415277,1.948463127
