Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,,North Heat Flux,South Heat Flux,Average HF
118,753.2768809,710.0843589,638.9021677,514.923051,501.2898159,431.0571977,345.7438731,280.5682864,237.1330537,194.8177196,192.5681439,163.0148496,,1.698785934,2.459141251,2.078963593
119,731.5990142,689.5552689,610.0975681,493.4595993,489.6255702,418.1997468,334.3214225,271.4436198,232.1219054,194.1402923,190.1923887,159.636062,,1.730120145,2.482200112,2.106160129
120,722.7883942,668.4814441,595.1623226,480.5187671,470.7172307,404.4593628,325.4090555,262.4623155,225.6682828,191.3797677,186.5198969,156.2693381,,1.690025832,2.610514046,2.150269939
121,722.977847,655.5452746,591.729765,481.1482086,460.4005354,395.5120606,318.1775627,257.6366682,221.2423913,187.5742039,181.2647787,152.5949799,,1.609163352,2.521886451,2.065524902
122,738.5714348,658.8506292,590.2911722,467.9631754,444.758892,384.3475336,312.3874577,253.1497186,215.8032098,183.0794402,175.3197142,148.7605112,,1.748988057,2.459454977,2.104221517
123,731.4865002,661.502137,592.7751799,466.7290129,441.8647736,382.1061473,312.5130681,253.863795,214.3587061,182.4310051,172.5663437,145.9935998,,1.808961063,2.411611762,2.110286413
124,757.6817224,689.3896303,619.7785632,480.5494318,462.6353564,395.8989241,314.1593994,250.57192,211.0437079,179.1848374,172.695017,144.0208952,,1.615228038,2.482670701,2.04894937
125,748.9260468,669.1135708,605.21034,473.5071141,464.0389844,397.7029016,311.5033459,248.6603063,208.2488925,179.474735,175.2027197,145.5013141,,1.743597225,2.509180548,2.126388887
126,746.6244568,661.4026319,581.866795,470.0765443,459.8935971,391.5318656,307.8085348,248.7795214,211.3325244,181.7991094,177.2956797,148.7749793,,1.715632284,2.385258778,2.050445531
127,746.2544768,648.2301834,583.1968199,479.4796308,460.7755851,381.7901231,302.1837883,244.0048662,207.905253,179.7584715,174.0123966,146.0874901,,1.84635996,2.419925501,2.133142731
128,732.1342835,665.6443264,587.9665056,481.788628,458.9386378,375.0320062,293.8310848,236.5019335,201.7811354,175.7119845,170.5690427,144.9200281,,1.755726597,2.456160854,2.105943726
129,729.1070506,673.4825656,580.4702016,479.5604845,450.0383271,372.3153246,294.6815333,237.7489885,202.594277,173.966331,169.2873422,144.3510721,,1.859500113,2.507455055,2.183477584
130,750.7722608,712.4129398,624.1514383,508.4597237,469.4696608,386.7732668,305.6317454,245.4812295,214.0077709,187.5566278,180.0701158,151.832505,,1.77897456,2.447847115,2.113410838
131,770.468957,723.3398016,643.6120595,525.9352529,487.7153245,394.5353657,308.1769121,243.4985417,209.2339034,183.8486995,175.8885038,151.0779608,,1.814351895,2.408631365,2.11149163
132,778.7993333,731.021162,636.0250915,534.4336707,482.7628464,379.0466976,297.3378251,236.0567052,198.499731,173.990437,166.5792455,146.5513162,,1.772572947,2.414592159,2.093582553
