Test Number,Test Type,Old Test Key,New Test Key,Start of Test,End of Test,Test Description,Excluded Groups,Excluded Channels,HRR Excluded Channels,Y Scale BDP,Y Scale HF,Y Scale TC,Y Scale TC_Helmet,Y Scale GAS,Y Scale HOSE,Y Scale TC_Gear,Y Scale PRESSURE,Y Scale TC_Manikin,Ambient Temp
31,HOSE,HOSE_DSTADF,HOSE_DSXAXF,150,1980,Manual nozzle located at Door C,None,BDP_A7_1p15_BS|BDP_A7_1p68_BS|BDP_A7_1p95_BS|BDP_A9_0p34_BS|BDP_A9_0p88_BS|BDP_A9_1p42_BS|BDP_A9_1p68_BS|BDP_A9_1p95_BS,None,5,None,None,None,None,120,None,None,None,30
32,HOSE,HOSE_DNTADM,HOSE_DNXAXX,180,1920,Manual nozzle located at Door C,None,BDP_A7_1p15_BS|BDP_A7_1p68_BS|BDP_A7_1p95_BS|BDP_A9_0p34_BS|BDP_A9_0p88_BS|BDP_A9_1p42_BS|BDP_A9_1p68_BS|BDP_A9_1p95_BS,None,5,None,None,None,None,120,None,None,None,30
33,HOSE,HOSE_IMTADM,HOSE_IXXAXX,60,660,Monitor located near Door BC,None,BDP_A7_1p15_BS|BDP_A7_1p68_BS|BDP_A7_1p95_BS|BDP_A9_0p34_BS|BDP_A9_0p88_BS|BDP_A9_1p42_BS|BDP_A9_1p68_BS|BDP_A9_1p95_BS,None,5,None,None,None,None,120,None,None,None,30
34,HOSE,HOSE_IMAODM,HOSE_IXAOXX,150,1140,Manual nozzle located near Door BC,None,BDP_A7_1p15_BS|BDP_A7_1p68_BS|BDP_A7_1p95_BS|BDP_A9_0p34_BS|BDP_A9_0p88_BS|BDP_A9_1p42_BS|BDP_A9_1p68_BS|BDP_A9_1p95_BS,None,5,None,None,None,None,120,None,None,None,30
35,PPV,PPV_NOOYY,PPV_NOOYC,120,1135,,None,None,None,None,None,None,None,None,None,None,None,None,30
36,FIRE,FIRE_NCONN,FIRE_FA2S1C1NCX1_1,90,2000,,None,None,None,20,200,3000,None,25,None,None,None,None,30
37,FIRE,FIRE_NCONN,FIRE_FA2S1C1NCX1_2,480,2700,,None,None,None,20,200,1500,None,25,None,None,None,None,30
38,FIRE,FIRE_NCONN,FIRE_FA2S1C1NCX1_3,240,2700,,None,None,None,20,200,1500,None,25,None,None,None,None,30
39,GAS,Test_1_East_062514,Test_1_East_062514,0,450,Wind and door test only,None,None,None,20,200,1500,None,None,None,None,None,None,30
40,GAS,Test_2_East_062514,Test_2_East_062514,0,3310,"Propane fire w/ doors, Replicate 1",None,None,None,20,200,1500,None,25,None,None,None,None,30
41,GAS,Test_3_East_062514,Test_3_East_062514,0,2160,"Propane fire w/ doors, Replicate 2",None,None,None,20,200,1500,None,25,None,None,None,None,30
42,GAS,Test_4_East_062514,Test_4_East_062514,0,1976,"Propane fire w/ doors, Replicate 3",None,None,None,20,200,1500,None,25,None,None,None,None,30
43,GAS,Test_5_East_062614,Test_5_East_062614,0,4140,"Propane fire w/ ceiling vent/door, 3 tests",None,None,None,20,200,None,1500,25,None,None,None,None,30
44,GAS,Test_6_East_062614,Test_6_East_062614,0,1941,"Propane fire w/ door/ceiling vent, 3 tests",None,None,None,20,200,None,1500,25,None,None,None,None,30
45,GAS,Test_7_East_062714,Test_7_East_062714,0,542,Cold flow U-shape setup,None,None,None,20,200,1500,None,None,None,None,None,None,30
46,GAS,Test_8_East_062714,Test_8_East_062714,0,1490,"Hot flow U-shape setup, no targets",None,None,None,20,200,1500,None,None,None,None,None,None,30
47,GAS,Test_9_East_062714,Test_9_East_062714,0,356,"Hot flow U-shape setup, targets (plastic helmet and fabric)",None,None,None,20,200,1500,300,None,None,None,None,None,30
48,GAS,Test_10_East_062714,Test_10_East_062714,0,3818,"Hot flow U-shape setup, targets (leather helmet and fabric)",None,None,None,20,200,1500,300,None,None,None,None,None,30
49,GAS,Test_11_East_062714,Test_11_East_062714,0,966,"Hot flow U-shape setup, targets (plastic helmet and fabric)",None,None,None,20,200,1500,300,None,None,None,None,None,30
50,GAS,Test_12_East_062914,Test_12_East_062914,0,1030,"Fire test, single couch in SW corner of fire room",None,None,None,20,200,1500,None,25,None,None,None,None,30
51,GAS,Test_13_East_062914,Test_13_East_062914,0,4151,"Fire test, two couches in SE corner of fire room",None,None,None,20,200,1500,None,25,None,None,None,None,30
52,PPV,Test_14_West_063014,Test_14_West_063014,0,600,PPV Test,None,None,None,20,200,1500,None,None,None,None,None,None,30
53,PPV,Test_15_West_063014,Test_15_West_063014,0,900,PPV Test,None,None,None,20,200,1500,None,None,None,None,None,None,30
54,HOSE,Test_16_West_063014,Test_16_West_063014,0,2159,Hose Test,None,None,None,20,200,1500,None,None,None,None,None,None,30
54,HOSE,Test_16_West_063014_custom,Test_16_West_063014_custom,0,2159,Hose Test,None,None,None,20,200,1500,None,None,None,None,None,None,30
55,HOSE,Test_17_West_063014,Test_17_West_063014,0,1562,Hose Test,None,None,None,20,200,1500,None,None,None,None,None,None,30
56,HOSE,Test_17b_West_063014,Test_17b_West_063014,0,560,Hose Test,None,None,None,20,200,1500,None,None,None,None,None,None,30
