Day of the Week ,Date Time ,Outside Temperature TX1 (°F),Outside Humidity TX1 (%),Wind Speed TX1 (mph),High Wind Speed TX1 (mph),Dominant Wind Dir TX1,Rain Amount TX1 (in),Outside Temperature TX2 (°F),Outside Humidity TX2 (%),Wind Speed TX2 (mph),High Wind Speed TX2 (mph),Dominant Wind Dir TX2,Rain Amount TX2 (in),Inside Temperature (°F),Inside Humidity (%),Barometric Pressure (in)
Tue, 07-01-2014 01:28:00,72.6,86,0.1,1.0,SSW,0.00,72.7,85,0.0,0.0,,0.00,79.5,58,29.93
Tue, 07-01-2014 01:29:00,72.6,86,0.1,1.0,SSW,0.00,72.7,85,0.0,0.0,,0.00,79.5,58,29.93
Tue, 07-01-2014 01:30:00,72.6,86,0.0,0.0,,0.00,72.7,85,0.3,1.0,WSW,0.00,79.5,58,29.93
Tue, 07-01-2014 01:31:00,72.6,86,0.0,0.0,,0.00,72.7,85,0.0,0.0,,0.00,79.5,58,29.93
Tue, 07-01-2014 01:32:00,72.6,86,0.1,1.0,SSW,0.00,72.7,86,0.1,1.0,WSW,0.00,79.4,58,29.93
Tue, 07-01-2014 01:33:00,72.6,86,0.0,0.0,,0.00,72.7,85,0.1,1.0,WSW,0.00,79.4,58,29.93
Tue, 07-01-2014 01:34:00,72.6,86,0.0,0.0,,0.00,72.7,85,0.1,1.0,WSW,0.00,79.4,59,29.93
Tue, 07-01-2014 01:35:00,72.6,86,0.2,1.0,SSW,0.00,72.7,85,0.0,0.0,,0.00,79.4,58,29.93
Tue, 07-01-2014 01:36:00,72.6,86,0.0,0.0,,0.00,72.7,85,0.0,0.0,,0.00,79.4,59,29.93
Tue, 07-01-2014 01:37:00,72.6,86,0.0,0.0,,0.00,72.6,85,0.0,0.0,,0.00,79.4,59,29.93
Tue, 07-01-2014 01:38:00,72.6,86,0.0,0.0,,0.00,72.7,85,0.0,0.0,,0.00,79.4,59,29.93
Tue, 07-01-2014 01:39:00,72.6,86,0.0,0.0,,0.00,72.6,86,0.0,0.0,,0.00,79.3,59,29.93
Tue, 07-01-2014 01:40:00,72.5,86,0.0,0.0,,0.00,72.6,86,0.0,0.0,,0.00,79.3,59,29.93
Tue, 07-01-2014 01:41:00,72.5,86,0.0,0.0,,0.00,72.6,86,0.0,0.0,,0.00,79.3,59,29.93
Tue, 07-01-2014 01:42:00,72.5,86,0.0,0.0,,0.00,72.6,86,0.0,0.0,,0.00,79.3,59,29.93
Tue, 07-01-2014 01:43:00,72.5,86,0.0,0.0,,0.00,72.6,86,0.0,0.0,,0.00,79.3,59,29.93
Tue, 07-01-2014 01:44:00,72.5,86,0.0,0.0,,0.00,72.5,86,0.0,0.0,,0.00,79.3,59,29.93
Tue, 07-01-2014 01:45:00,72.5,86,0.0,0.0,,0.00,72.5,86,0.0,0.0,,0.00,79.2,59,29.93
Tue, 07-01-2014 01:46:00,72.5,86,0.0,0.0,,0.00,72.5,86,0.0,0.0,,0.00,79.2,59,29.93
Tue, 07-01-2014 01:47:00,72.5,86,0.0,0.0,,0.00,72.5,86,0.0,0.0,,0.00,79.2,59,29.93
Tue, 07-01-2014 01:48:00,72.4,86,0.0,0.0,,0.00,72.5,86,0.0,0.0,,0.00,79.2,59,29.93
Tue, 07-01-2014 01:49:00,72.4,86,0.0,0.0,,0.00,72.5,86,0.0,0.0,,0.00,79.2,59,29.93
Tue, 07-01-2014 01:50:00,72.4,86,0.0,0.0,,0.00,72.4,86,0.0,0.0,,0.00,79.2,59,29.93
Tue, 07-01-2014 01:51:00,72.4,86,0.0,0.0,,0.00,72.4,86,0.0,0.0,,0.00,79.2,59,29.93
Tue, 07-01-2014 01:52:00,72.4,86,0.0,0.0,,0.00,72.4,86,0.0,0.0,,0.00,79.1,59,29.93
Tue, 07-01-2014 01:53:00,72.4,86,0.0,0.0,,0.00,72.3,86,0.0,0.0,,0.00,79.1,59,29.93
Tue, 07-01-2014 01:54:00,72.4,87,0.1,1.0,SSW,0.00,72.3,86,0.3,1.0,WSW,0.00,79.1,59,29.93
Tue, 07-01-2014 01:55:00,72.4,86,0.4,2.0,SSW,0.00,72.2,86,0.3,1.0,WSW,0.00,79.1,59,29.93
Tue, 07-01-2014 01:56:00,72.3,87,0.0,0.0,,0.00,72.2,86,0.1,1.0,WSW,0.00,79.1,59,29.93
Tue, 07-01-2014 01:57:00,72.3,87,0.0,0.0,,0.00,72.2,87,0.3,1.0,WSW,0.00,79.1,59,29.93
Tue, 07-01-2014 01:58:00,72.3,86,0.1,1.0,SSW,0.00,72.2,87,0.5,1.0,WSW,0.00,79.0,59,29.93
Tue, 07-01-2014 01:59:00,72.3,86,0.0,0.0,,0.00,72.2,86,0.0,0.0,,0.00,79.0,59,29.94
Tue, 07-01-2014 02:00:00,72.3,86,0.0,0.0,,0.00,72.2,86,0.1,1.0,WSW,0.00,79.0,59,29.94
Tue, 07-01-2014 02:01:00,72.3,86,0.1,1.0,SSW,0.00,72.2,86,0.0,0.0,,0.00,79.0,59,29.94
