Time,PUF 1,PUF 2,PUF 3,PUF 4
333,-0.0048432,-0.0015135,-0.0147314,0.0073657
334,-0.0005045,-0.0007063,-0.0140251,0.0048432
335,0.0081729,-0.0018162,-0.0132179,0.001009
336,0.0128143,-0.0009081,-0.0127134,0.0026234
337,0.0134197,-0.0016144,-0.0104936,0.0042378
338,0.012108,-0.0066594,-0.0138233,0.0063567
339,0.0096864,-0.005045,-0.012108,0.0025225
340,0.0036324,-0.0024216,-0.0127134,0.004036
341,0.0073657,-0.0083747,-0.0109981,0.0068612
342,0.0041369,-0.0092827,-0.0099891,0.0099891
343,0.0008072,-0.0045405,-0.0119062,0.0098882
344,-0.0019171,-0.0039351,-0.0144287,0.0150341
345,0,-0.0056504,-0.0122089,0.01009
346,-0.0023207,-0.0054486,-0.014126,0.0048432
347,-0.0039351,-0.0034306,-0.0159422,0.0022198
348,-0.0041369,-0.0054486,-0.0165476,-0.0043387
349,-0.0034306,-0.0055495,-0.0137224,-0.003027
350,-0.0045405,-0.0059531,-0.0153368,-0.0023207
351,-0.0057513,-0.0078702,-0.0138233,-0.0017153
352,-0.0032288,-0.0038342,-0.0104936,-0.0001009
353,-0.0129151,-0.0056504,-0.0051459,-0.0012108
354,-0.0095855,-0.0045405,-0.004036,-0.0011099
355,-0.0023207,-0.0065585,-0.0082738,-0.004036
356,-0.0041369,-0.0021189,-0.0111999,0.0006054
357,-0.0116034,-0.0057513,-0.0119062,0.0039351
358,-0.0139241,-0.0044396,-0.0099891,0.0024216
359,-0.0075675,-0.0057513,-0.0116035,0.0018162
360,-0.0132178,-0.0041369,-0.0132179,0.0042378
361,-0.0116034,-0.0009081,-0.0119062,0.0047423
362,-0.0084756,0.0037333,-0.0120071,0.0065585
363,-0.0125115,0.0037333,-0.01009,0.0079711
364,-0.0105945,-0.0037333,-0.0105945,0.0085765
365,-0.0084756,-0.0064576,-0.0119062,0.0117044
366,-0.0141259,-0.0018162,-0.0106954,0.0140251
367,-0.0149331,-0.0083747,-0.0114017,0.0103927
368,-0.0149331,-0.0035315,-0.0069621,0.0068612
369,-0.0131169,-0.0015135,-0.0014126,0.0107963
370,-0.0139241,-0.0002018,-0.0035315,0.0107963
371,-0.0155385,0.0008072,-0.0077693,0.0077693
372,-0.0141259,0.0027243,-0.0138233,0.0063567
373,-0.0056504,0.0024216,-0.0185655,0.0066594
374,-0.0089801,0.0007063,-0.016144,0.0068612
375,-0.0086774,0.0007063,-0.0127134,0.0047423
376,-0.003027,0.005045,-0.0148323,0.0073657
377,-0.0084756,0.0071639,-0.0127134,0.0068612
378,-0.0093837,0.0019171,-0.0140251,0.0063567
379,-0.0078702,0.0032288,-0.0122089,0.0075675
380,-0.0101909,0.003027,-0.0120071,0.0062558
381,-0.0065585,0.0038342,-0.0108972,0.0055495
382,-0.0103927,0.0095855,-0.0098882,0.0073657
383,-0.0026234,0.0092828,-0.0087783,0.0101909
384,-0.0047423,0.0031279,-0.0093837,0.0105945
385,-0.0025225,0.0012108,-0.0104936,0.0065585
386,0.0011099,0.0001009,-0.0055495,0.0021189
387,-0.0006054,0.003027,-0.0074666,0.0005045
388,-0.0006054,0.0046414,-0.0114017,0.003027
389,0.0024216,-0.0048432,-0.0077693,0.0014126
390,0.0014126,0.0002018,-0.0052468,-0.0001009
391,0.0012108,0.0028252,-0.0043387,-0.0003027
392,-0.002018,0.0034306,-0.0087783,0.0002018
393,-0.0051459,-0.0012108,-0.0066594,0.0032288
394,-0.0022198,-0.007063,-0.0001009,0.006054
395,-0.0002018,-0.0062558,0.002018,0.0068612
396,-0.0037333,-0.0018162,0.0084756,0.002018
397,-0.0038342,-0.0018162,0.0037333,0.003027
398,-0.0032288,0.0009081,-0.0052468,0
399,-0.0045405,0.0049441,-0.0088792,0.0002018
400,-0.0044396,0.0015135,-0.0120071,0.0036324
401,-0.0059531,-0.0006054,-0.0144287,0.0062558
402,-0.0032288,-0.0011099,-0.0164467,0.0118053
403,-0.0018162,0.0001009,-0.0111999,0.0114017
404,-0.0022198,0.0029261,-0.0158413,0.0083747
405,-0.0045405,0.0003027,-0.0133188,0.0015135
406,-0.0084756,0.0006054,-0.0162449,-0.0003027
407,-0.0044396,-0.0028252,-0.014126,0.0046414
408,-0.0057513,-0.0068612,-0.0130161,0.0004036
409,-0.0019171,-0.0075675,-0.0091819,-0.0005045
410,-0.005045,-0.0067603,-0.0048432,-0.0023207
411,-0.0069621,-0.0059531,-0.0052468,-0.0016144
412,-0.0038342,-0.0061549,-0.0028252,0.0023207
413,-0.0031279,-0.0052468,-0.0017153,-0.0008072
