Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m
43,59.5546478,55.1426946,27.9391296,14.7428214,9.466898,7.5979761,14.5085616,18.7082623,15.9231175,13.1301196,6.9786885,5.5690817,0,663.3183594,603.0015259,535.1339111,216.9181671,196.6180725,145.9611511,126.2973328,101.874527,88.2746124,77.7633667,75.6154175,67.1297455,294.3428345,329.1911926,235.9229431,392.6463318,106.6758652,120.2820663,61.9995117,50.4985542,49.5537758,45.5689468,40.2797966
44,64.5443233,61.0166239,30.6723283,17.7012481,11.6184831,9.531034,15.8383761,18.5436019,14.1291721,10.7206036,7.8170157,5.4628457,0,673.1105347,614.2432861,543.1080322,222.1531525,204.5391235,153.8643951,131.1334991,103.8385696,88.6040268,76.4597321,74.3119583,66.4765472,298.2063293,332.8728943,237.4312439,408.066803,110.1686707,124.4276047,64.0458527,51.2165718,50.0099297,45.8585815,40.5211678
45,58.1308544,46.9051772,17.8711253,8.8411838,7.050183,5.8647905,13.2115262,14.937494,10.7572646,7.0308575,5.4640021,4.151597,0,681.6316528,612.4249878,516.2923584,218.5560303,212.3320465,160.1400757,137.8535461,109.6603317,90.8970718,77.5850906,76.3783875,66.6816788,299.0100098,331.6095276,231.3375244,305.2568665,110.6920242,121.6909027,65.0186462,52.1459312,50.6397018,46.3840408,40.9636841
46,63.20063,46.0655416,17.9682892,8.7775389,5.711064,3.8737175,15.3968696,16.5601723,10.500917,7.0101397,4.3943044,2.9617382,0,683.6591187,599.1957397,487.6130066,213.9439697,205.7792358,155.2545013,131.3717499,106.3341293,89.0333633,77.6592941,75.5710983,66.3137512,300.3645325,322.5887146,220.5417633,231.3926392,107.1282578,108.5410385,63.0854149,52.0895576,49.6056099,45.8016014,40.6863365
47,70.2309652,48.76953,17.2378681,9.5327705,6.6971673,5.1861035,25.7822309,35.2015027,16.8640354,9.0646574,5.1333882,4.0682109,0,694.8742676,599.8843994,484.8948059,213.9714813,199.8595276,152.8943939,130.9681702,105.2054443,88.110054,77.3066559,74.6640091,66.6833878,307.3561401,325.8457031,214.9243011,218.9020233,105.9957428,104.2738113,62.2620888,51.9057655,48.8871078,45.0793495,40.1543961
48,69.304362,47.2858947,16.5523391,6.2399215,4.8397864,4.1110043,37.6673525,40.0303657,19.0679742,8.3010575,4.4141699,4.1641327,0,697.0038452,595.2560425,464.6524963,211.5026703,195.5983734,149.1507568,127.1687927,103.7105026,87.6184464,77.198822,73.3088379,66.5791473,314.7695618,339.5583191,214.276825,234.1077728,104.8060532,101.5947952,62.088604,51.8665886,48.783123,45.0804329,40.0384598
49,65.3647579,51.5936593,16.9065573,7.3431552,4.6411231,3.6641508,27.7116468,38.403231,19.0316787,10.3136463,4.9517239,3.9698295,0,693.8128662,581.1081543,467.249939,211.7567291,195.4961548,151.3164825,125.9643402,103.4865952,88.1825867,77.9477234,73.3643417,65.818512,320.7063599,352.5576172,217.2186432,248.3601379,103.6054001,97.737175,61.3657188,51.6631889,48.5716019,44.828907,39.8794174
50,65.1640333,45.5143535,16.6146041,7.0203493,4.5887154,3.7350415,41.5246714,50.2421201,21.8733129,10.0046876,5.277012,4.1678616,0,691.9752808,559.6030273,440.8240967,207.5090027,190.3649292,149.2931061,120.9188995,101.0772476,87.2525253,78.1597977,74.5255585,65.649437,325.4631958,363.487915,223.539566,272.4934082,103.2849197,98.0488358,60.9632759,51.4823036,48.2875175,44.7087593,39.8489761
51,63.8502002,42.114683,15.154223,7.296035,5.8998641,3.8428922,22.0925884,32.8230758,16.6285211,7.6109566,4.4797686,3.5190208,0,684.9196167,562.7384644,425.2879028,203.9510498,185.0910645,145.1164093,116.7483673,98.1883774,86.0860291,77.4903259,75.2487183,65.9721756,332.7302551,370.0708008,224.4996033,257.6221313,103.1585999,98.436882,60.3831444,51.1484299,47.7101631,44.5028343,39.7432289
52,62.7818812,42.7741064,16.186283,7.6561443,5.9192961,4.4286489,18.8389053,38.4801663,14.1114312,7.1010679,4.1131431,3.3140068,0,697.5613403,577.1851807,427.6150513,200.3462677,182.8637543,143.2113953,116.271698,97.2870102,85.6001892,76.9072723,74.7149429,66.1655502,341.7414856,371.4527893,222.5167999,241.9071808,102.6177368,97.17379,59.8858643,50.7518768,47.1709442,44.0003548,39.4221687
