s,kW,kW
Time,"Basement_HRR","First_Floor_HRR"
 1.1130418E+002, 2.3527676E+003, 5.7168958E+002
 1.1160371E+002, 2.5587642E+003, 7.5905267E+002
 1.1190081E+002, 2.7475854E+003, 7.4861243E+002
 1.1220297E+002, 2.8552224E+003, 6.6317352E+002
 1.1250091E+002, 2.8730779E+003, 6.9920569E+002
 1.1280197E+002, 2.7779209E+003, 6.8212811E+002
 1.1310401E+002, 2.8468430E+003, 6.8751672E+002
 1.1340144E+002, 2.7494702E+003, 5.3233868E+002
 1.1370094E+002, 2.8003162E+003, 5.2758978E+002
 1.1400241E+002, 3.1184346E+003, 5.4345776E+002
 1.1430397E+002, 2.8568103E+003, 5.3083350E+002
 1.1460307E+002, 2.6915845E+003, 4.2107114E+002
 1.1490470E+002, 2.5013669E+003, 4.3705759E+002
 1.1520094E+002, 2.4430054E+003, 5.0200165E+002
 1.1550445E+002, 2.7258667E+003, 5.5654626E+002
 1.1580282E+002, 2.9572542E+003, 5.3558801E+002
 1.1610405E+002, 3.0723271E+003, 5.7338013E+002
 1.1640183E+002, 3.0626445E+003, 4.9364435E+002
 1.1670280E+002, 3.1516978E+003, 4.3663480E+002
 1.1700532E+002, 3.0572502E+003, 4.7397354E+002
 1.1730093E+002, 3.0211765E+003, 4.2258652E+002
 1.1760155E+002, 2.9135955E+003, 5.0119299E+002
 1.1790108E+002, 2.8694841E+003, 4.0927277E+002
 1.1820060E+002, 2.9382126E+003, 3.7076874E+002
 1.1850165E+002, 2.7566687E+003, 4.4118585E+002
 1.1880250E+002, 2.8799543E+003, 3.5530627E+002
 1.1910023E+002, 2.7724482E+003, 3.4977518E+002
 1.1940401E+002, 2.6845403E+003, 2.8622009E+002
 1.1970073E+002, 2.5421162E+003, 2.6911884E+002
 1.2000139E+002, 2.5136130E+003, 2.9632455E+002
 1.2030423E+002, 2.6960835E+003, 4.0092374E+002
 1.2060455E+002, 2.6687883E+003, 3.5466077E+002
 1.2090381E+002, 2.5065525E+003, 3.5008340E+002
 1.2120249E+002, 2.6673381E+003, 3.6043777E+002
 1.2150265E+002, 2.9580876E+003, 4.7479025E+002
 1.2180206E+002, 3.0557231E+003, 5.2451801E+002
 1.2210088E+002, 2.5417800E+003, 4.3817120E+002
 1.2240332E+002, 2.5313596E+003, 2.9883655E+002
 1.2270275E+002, 2.4581099E+003, 3.2741281E+002
 1.2300265E+002, 2.4513894E+003, 2.8773636E+002
 1.2330044E+002, 2.2987126E+003, 2.9613867E+002
 1.2360060E+002, 2.5038062E+003, 2.9758685E+002
 1.2390073E+002, 2.4679717E+003, 3.4687585E+002
 1.2420509E+002, 2.4897676E+003, 3.7908450E+002
 1.2450244E+002, 2.3425198E+003, 3.9816675E+002
 1.2480480E+002, 1.9691443E+003, 3.5731552E+002
 1.2510315E+002, 1.9122535E+003, 3.3181320E+002
 1.2540622E+002, 1.8185408E+003, 2.7739563E+002
 1.2570402E+002, 1.9163773E+003, 2.6535248E+002
 1.2600240E+002, 1.7587036E+003, 2.1009457E+002
 1.2630006E+002, 1.6466194E+003, 1.2617281E+002
 1.2660071E+002, 1.8235906E+003, 1.4047575E+002
 1.2690135E+002, 1.7470521E+003, 2.2843526E+002
 1.2720024E+002, 1.6768152E+003, 1.8389908E+002
 1.2750047E+002, 1.6148364E+003, 1.1419759E+002
 1.2780248E+002, 1.7365330E+003, 1.0490841E+002
 1.2810502E+002, 1.6735466E+003, 8.9586914E+001
 1.2840333E+002, 1.8314198E+003, 1.7095294E+002
 1.2870042E+002, 1.9999730E+003, 2.9264282E+002
 1.2900481E+002, 2.1429873E+003, 2.8767529E+002
 1.2930142E+002, 1.9934532E+003, 4.3042743E+002
 1.2960437E+002, 2.1152065E+003, 4.5803793E+002
 1.2990101E+002, 2.0512788E+003, 4.1057281E+002
 1.3020138E+002, 1.9523201E+003, 2.9615836E+002
 1.3050406E+002, 2.1010249E+003, 1.7290230E+002
 1.3080435E+002, 2.3778486E+003, 1.3315070E+002
 1.3110223E+002, 2.4736262E+003, 1.3587811E+002
 1.3140295E+002, 2.6172100E+003, 2.0631427E+002
 1.3170163E+002, 2.2124924E+003, 2.8227805E+002
 1.3200101E+002, 2.1356545E+003, 3.0589542E+002
 1.3230419E+002, 2.3445757E+003, 3.1489142E+002
 1.3260268E+002, 2.1930833E+003, 5.0846152E+002
 1.3290363E+002, 2.0009310E+003, 3.6482523E+002
 1.3320439E+002, 2.2841072E+003, 3.7381345E+002
 1.3350397E+002, 2.2905991E+003, 2.9731567E+002
 1.3380291E+002, 2.2314080E+003, 2.4430511E+002
 1.3410459E+002, 2.2387456E+003, 1.6762550E+002
 1.3440354E+002, 2.0186539E+003, 1.8173477E+002
 1.3470127E+002, 1.7951694E+003, 2.2860255E+002
 1.3500508E+002, 1.9154703E+003, 2.0332365E+002
 1.3530360E+002, 1.9827516E+003, 1.9448344E+002
 1.3560363E+002, 2.2878269E+003, 2.3307222E+002
 1.3590020E+002, 2.1748418E+003, 2.8184637E+002
 1.3620382E+002, 1.9604086E+003, 2.6916714E+002
 1.3650347E+002, 1.8929005E+003, 1.9370544E+002
 1.3680327E+002, 1.8466454E+003, 1.7481740E+002
 1.3710115E+002, 1.5300580E+003, 3.2225552E+002
 1.3740400E+002, 1.4475397E+003, 1.9466476E+002
 1.3770282E+002, 1.5048162E+003, 6.8638809E+001
 1.3800177E+002, 1.6152152E+003, 1.1216216E+002
