Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m
41,2.6801705,1.8400597,1.1813635,0.7679282,0.8157312,0.6994674,2.2711931,1.6818695,1.5783909,1.1198645,0.9227322,0.7737848,0,34.6786537,27.5285664,21.618782,20.5344353,21.2952709,20.7270813,20.05056,18.7868042,18.469223,17.7795982,17.2527561,17.0954685,41.9841576,33.7327232,32.4479599,29.3977852,29.1947975,27.9148865,3316.491943,24.4363041,23.1175079,21.999958,21.062252
42,3.1809154,1.7350714,1.3209599,0.9444652,0.8130813,0.6942415,2.8387722,2.0953968,1.2655653,0.9016696,0.8348165,0.7264982,0,35.8721237,29.882164,23.2413349,20.6044235,21.339426,20.7636604,20.0681705,18.9807358,18.8258247,18.0326519,17.3004913,17.1195869,43.4664955,34.5775909,33.1394157,29.8629246,29.4592724,28.0394096,3316.490723,24.6031857,23.2432861,22.1365166,21.1575947
43,4.089034,3.0563538,1.7328307,1.0071285,0.7868039,0.7471822,3.6461415,2.187813,1.678814,1.2109572,1.0876587,0.9832418,0,36.7958527,29.6706543,24.0861683,20.6933041,21.3641529,20.7872581,20.0207844,18.9264736,18.7387867,18.0817776,17.3302517,17.146286,46.7446785,35.571064,33.9563179,30.300312,30.0133896,28.3473454,3316.492188,24.7612705,23.4495621,22.2559338,21.2278252
44,4.1281362,3.0728597,1.7534319,0.9920762,0.8149215,0.7663439,2.8354943,2.3454366,1.9289768,1.3923204,1.0111551,0.8559808,0,37.3935928,30.9178829,23.6313248,20.7409554,21.3867455,20.8125134,19.9894848,18.8845119,18.6530285,18.0914955,17.3517838,17.164381,49.1967697,36.7727776,35.0368042,31.1652222,30.5053024,28.7257633,3316.491455,24.9965687,23.6710663,22.4152508,21.3554497
45,3.2944303,2.0059302,1.2599249,0.9716247,0.7868775,0.6634162,2.7606072,1.8226049,1.2626356,1.3745622,0.978863,0.7122964,0,41.5000801,33.4953079,23.815731,20.7147846,21.3435154,20.9650612,20.0088634,18.8708458,18.6450539,18.1055813,17.3921452,17.1777096,50.3760529,37.9755859,36.0205994,31.8064384,30.8520393,28.9762135,3316.493408,25.1904392,23.8556499,22.5251122,21.4673195
46,3.783089,2.1885773,1.2836009,0.8199567,0.7349851,0.6113085,2.9065993,2.1362101,1.5933648,1.4546383,0.8579789,0.6136771,0,42.8384781,32.6698456,25.5209255,20.7449608,21.3937836,20.9815693,20.5180721,19.4571934,19.253006,18.1380959,17.4041386,17.1984501,51.5099068,38.8340149,36.5389023,32.0756226,30.8018494,28.9651108,3316.496826,25.2828255,23.9042511,22.5904522,21.5509262
47,3.9726754,2.4616008,1.6999302,0.9374299,0.8467194,0.7538472,2.871299,1.6415255,1.4140028,1.0549158,0.770824,0.625102,0,41.6499062,31.2843075,25.9513855,20.9479771,21.52882,21.0980415,20.4049759,20.0411644,19.6537037,18.6535969,17.9308338,17.515686,52.6405334,39.5905457,37.1457329,32.5443192,30.9838219,29.0807056,3316.496826,25.3323174,23.8978214,22.6256752,21.6081715
48,4.3636972,3.7054949,2.3231942,0.9999296,0.8344271,0.6713686,2.8203656,1.5993048,1.5774143,1.0891166,0.6761455,0.5421919,0,41.5275497,30.8685513,25.144474,21.0311794,21.7534504,21.2202969,20.3265171,20.148695,19.7887402,18.7897663,18.0131226,17.643959,53.7974052,40.3705215,37.8905525,32.7088699,30.9440784,29.1523457,3316.496826,25.4170475,23.9338531,22.6700916,21.7049465
49,7.7215081,4.5481067,2.8004047,1.1964272,1.0847621,0.7927764,3.1274786,2.3379307,1.974387,1.5092281,0.989937,0.8600271,0,41.6379356,30.8950901,24.6340828,21.0556736,22.1062832,21.2686844,20.3510208,20.4411373,20.1567974,19.0745983,18.5466232,17.9023647,56.195015,41.688839,39.3854179,33.2983208,31.3224411,29.2873287,3316.496094,25.5143414,24.043726,22.7646008,21.743824
50,7.3854663,3.7872126,2.6196059,1.2255501,1.1594725,1.084443,3.7850736,2.6470793,1.5686252,0.9496824,0.8541749,0.7572027,0,41.7423325,30.7813187,24.3100071,21.1093559,22.0075207,21.2529411,20.329195,20.1631393,19.9449558,19.475193,19.2417946,18.4651489,59.4119072,43.1257553,40.2954597,33.9350433,31.8276119,29.6134586,3316.499512,25.6350174,24.167551,22.8639984,21.8209572
