Panel,Channel,Device Name,Type,X,Y,Z,Serial Number,Calibration Slope,Calibration Intercept,Test Specific Name
SC1Mod11,9,HF_1_H,Voltage,,,0.3 m AF,,,0,Heat Flux 1 H
SC1Mod11,10,HF_2_V,Voltage,,,0.3 m AF,,,0,Heat Flux 2 V
SC1Mod11,11,HF_2_H,Voltage,,,0.3 m AF,,,0,Heat Flux 2 H
SC1Mod11,12,HF_3_V,Voltage,,,0.3 m AF,,,0,Heat Flux 3 V
SC1Mod11,13,HF_3_H,Voltage,,,0.3 m AF,,,0,Heat Flux 3 H
SC1Mod11,14,HF_4_V,Voltage,,,0.3 m AF,,,0,Heat Flux 4 V
SC1Mod11,15,HF_4_H,Voltage,,,0.3 m AF,,,0,Heat Flux 4 H
SC1Mod11,16,HF_5_V,Voltage,,,0.3 m AF,,,0,Heat Flux 5 V
SC1Mod11,17,HF_5_H,Voltage,,,0.3 m AF,,,0,Heat Flux 5 H
SC1Mod11,18,,,,,,,,,
SC1Mod11,19,,,,,,,,,
SC1Mod11,20,,,,,,,,,
SC1Mod11,21,,,,,,,,,
