Time (s),North_Heat_Flux_1,South_Heat_Flux_1,North_Heat_Flux_2,South_Heat_Flux_2,North_Heat_Flux_3,South_Heat_Flux_3,North_Heat_Flux_4,South_Heat_Flux_4,North_Heat_Flux_5,South_Heat_Flux_5
165,1.567384404,2.077179846,1.860847821,2.245180119,1.474392552,1.721885151,2.2652754,2.7925424,1.7289202,2.0381992
166,1.511791449,1.885963849,1.843327617,2.047532739,1.37466216,1.578512369,2.3665423,3.1616804,1.7252191,2.1179844
167,1.589284659,1.782277406,1.878704952,1.725649863,1.446427611,1.553571152,2.2116604,3.1473133,1.7996015,2.2330886
168,1.602761739,1.689100784,1.854446208,1.736316547,1.35107727,1.5058848,2.0911681,3.0050553,1.739818,2.104192
169,1.669810212,1.584786889,1.72506624,1.660237992,1.267856301,1.454276873,2.0586804,2.7544696,1.7682961,1.9965826
170,1.374325233,1.585100615,1.654648497,1.640630117,1.341306387,1.567218233,2.1569146,2.4558261,1.6906238,1.9896385
171,1.31064603,1.422904273,1.451481516,1.565179014,1.260443907,1.562512343,2.1348106,2.4832911,1.5984041,2.0900404
172,1.34433873,1.510904416,1.401953247,1.438276847,1.250673024,1.673414484,2.257102,2.3819075,1.4024499,1.9079856
173,1.26010698,1.523924045,1.451144589,1.402825809,1.0444737,1.407217973,2.3200212,2.4143052,1.5519858,1.8521456
174,1.120956129,1.378668907,1.283018016,1.365021826,0.97034976,1.317492337,2.2777667,2.2985545,1.3251375,1.6602015
175,1.028301204,1.219609825,1.289082702,1.441414107,0.995956212,1.213178442,2.2151559,2.187497,1.507161,1.7240871
176,0.975740592,1.130041052,1.264487031,1.566904507,1.178907573,1.295531517,2.1285906,2.1937228,1.3889819,1.9052559
177,1.062330831,1.1294136,1.19609085,1.522982867,1.16239815,1.401884631,1.8852415,2.1133151,1.3244692,1.8775993
178,1.02762735,1.202198032,1.098718947,1.412080726,1.091306553,1.296315832,1.9098643,2.0732309,1.243764,1.8179759
179,0.978772935,1.304786434,1.13881326,1.457884722,1.023921153,1.270119711,1.9800315,2.0159781,1.2181132,1.7167838
180,0.888476499,1.288158956,1.115902224,1.555139782,0.969002052,1.184158787,2.094458,2.0456222,1.265354,1.6885765
181,0.896899674,1.189805855,1.109500611,1.473100433,0.932277009,1.136943024,1.9824475,1.9855199,1.2186786,1.6486839
182,0.88274874,1.216629428,0.995282358,1.329257062,0.922843053,1.118119464,2.0056309,1.9263037,1.1466608,1.5496469
183,0.899258163,1.203766662,0.980120643,1.256158904,0.907681338,1.194041156,2.028249,1.9526433,1.141469,1.582332
184,0.815026413,1.158590118,1.035039744,1.256786356,0.83220969,1.052393867,1.8991721,1.9463218,1.1095982,1.493304
185,0.83220969,1.101021397,0.931266228,1.257256945,0.899932017,1.039217375,1.9486233,1.9786477,1.1374594,1.4617204
186,0.813678705,1.128943011,0.894541185,1.203609799,0.837263595,1.032001677,1.8016577,1.9426342,1.1272813,1.4041563
187,0.830525055,1.12313908,0.952492629,1.24235496,0.770888976,1.011923213,1.6193771,1.7811004,1.1019389,1.4292029
188,0.741576327,1.086746864,0.973382103,1.177727404,0.732142371,0.951687821,1.6111524,1.7327073,1.1002425,1.3481726
189,0.676886343,0.913570112,1.040430576,1.155139132,0.7749321,0.899295579,1.4803792,1.6513658,1.0982377,1.3954164
190,0.762128874,0.937883877,0.951481848,1.154197954,0.773584392,0.880472019,1.4011648,1.5991654,1.0542354,1.3972601
191,0.738880911,0.91921718,0.846360624,1.164707775,0.737533203,0.869962198,1.2704944,1.5280723,1.0527961,1.2925002
192,0.71091597,0.894746552,0.861859266,1.163609734,0.669810876,0.850040597,1.3021596,1.5837687,1.1411091,1.275595
193,0.673517073,0.838432735,0.786724545,1.089256672,0.681266394,0.828707229,1.301954,1.6421708,1.1575072,1.3458499
194,0.635107395,0.775373809,0.8086248,1.100393945,0.672169365,0.826824873,1.2313241,1.591934,1.1252765,1.4016181
195,0.676212489,0.847844515,0.776953662,1.039060512,0.633759687,0.788236575,1.2581059,1.5463903,0.9517348,1.2995161
196,0.686994153,0.921726988,0.782007567,1.063060551,0.63679203,0.810040532,1.1254822,1.4368175,0.9071156,1.2379293
197,0.600066987,0.861021007,0.746967159,1.042982087,0.621630315,0.843609214,1.2603163,1.4663418,0.911999,1.2626646
198,0.579177513,0.819138586,0.679244832,0.985413366,0.586589907,0.844393529,1.0234955,1.3333027,0.8232234,1.1954506
199,0.589959177,0.848315104,0.71428524,0.950746643,0.578166732,0.858511199,0.9750724,1.2040469,0.8361773,1.1763664
200,0.5053905,0.758746331,0.665430825,0.895217141,0.584231418,0.828550366,1.0910925,1.1943971,0.8409065,1.1173416
201,0.512465967,0.719373718,0.681603321,0.874040636,0.574797462,0.763765947,0.8863482,1.1790722,0.8060543,1.0711036
202,0.517856799,0.653491258,0.651279891,0.862119048,0.577155951,0.739452182,0.8536549,1.135971,0.80297,1.0602086
203,0.52223685,0.65411871,0.621630315,0.80784445,0.616239483,0.744785524,0.8663004,1.1430348,0.8097554,1.0900203
204,0.50202123,0.672628544,0.639487446,0.804864053,0.53234466,0.724393334,0.8005026,1.0894456,0.7759826,1.0520433
205,0.462600771,0.621020617,0.63342276,0.830589585,0.53234466,0.661177545,0.8216812,1.0479008,0.7677579,1.0101633
206,0.486522588,0.598746071,0.653975307,0.825726832,0.509770551,0.656942244,0.8224523,1.0809211,0.7155822,1.0122226
207,0.527627682,0.602824509,0.611859432,0.777413028,0.514150602,0.635765739,0.8163352,1.0734981,0.7336766,0.9660324
208,0.487533369,0.575844073,0.601751622,0.791687561,0.471023946,0.604079413,0.8590524,1.0703853,0.7535188,0.9551374
209,0.471360873,0.569883279,0.549864864,0.749962003,0.488207223,0.589961743,0.7477615,1.0019262,0.7411817,0.9151969
210,0.435309684,0.567530334,0.544474032,0.710746253,0.51886758,0.594040181,0.7477101,0.9941201,0.7385087,0.8797581
211,0.395215371,0.520628297,0.508422843,0.691295241,0.503032011,0.599373523,0.706278,0.9663677,0.6774401,0.8179797
212,0.440700516,0.51607927,0.553907988,0.690981515,0.475740924,0.619138261,0.7000581,0.9392857,0.7288446,0.8053846
213,0.441037443,0.512628284,0.470687019,0.605804906,0.46495926,0.607844125,0.7814315,0.9530302,0.6848937,0.751963
214,0.422506458,0.505569449,0.489218004,0.590432332,0.4380051,0.587451935,0.7399994,0.9200578,0.6737389,0.7509334
215,0.403638546,0.523138105,0.489218004,0.59137351,0.400606203,0.540236172,0.7557292,0.8952746,0.681501,0.7575183
216,0.381738291,0.534432241,0.500673522,0.601569605,0.410040159,0.525177324,0.7483783,0.8883066,0.6662339,0.7708557
