s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 4.0201172E+001, 7.7216443E+003,-2.4043831E+003,-5.3816952E+003,-1.8497167E+001, 5.1608054E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.9613610E+001,-7.7770330E+001, 5.2134146E-001
 4.0500309E+001, 9.5685108E+003,-2.9268433E+003,-6.4989951E+003,-2.5347546E+001, 5.4546937E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1204122E+002, 1.2277952E+002, 5.2134146E-001
 4.0800938E+001, 9.2381191E+003,-2.8560840E+003,-6.3122010E+003,-3.7212507E+001, 5.7626879E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0825296E+001, 3.8384274E+001, 5.2134146E-001
 4.1100342E+001, 8.6061731E+003,-2.6467211E+003,-5.9969647E+003,-2.9007037E+001, 4.9654331E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0038812E+002,-6.1554225E+001, 5.2134146E-001
 4.1401131E+001, 7.2352204E+003,-2.1744031E+003,-5.1545166E+003,-3.3948705E+001, 4.8735798E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3639870E+002,-1.2277445E+002, 5.2134146E-001
 4.1701908E+001, 7.9305019E+003,-2.4076703E+003,-5.4363230E+003,-1.4128142E+001, 4.6694861E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4225290E+001, 7.7050034E+001, 5.2134146E-001
 4.2001785E+001, 8.6697638E+003,-2.6644332E+003,-5.9865669E+003,-2.6494271E+001, 4.8861124E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6294718E+000,-2.8444295E+000, 5.2134146E-001
 4.2300583E+001, 8.4624834E+003,-2.6174160E+003,-5.7658296E+003,-1.9891038E+001, 4.9769595E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8153755E+001, 6.4323757E+001, 5.2134146E-001
 4.2601131E+001, 9.4211998E+003,-2.8876794E+003,-6.5208303E+003, 1.7961806E+000, 5.1254902E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.2858496E+001, 1.9611718E+001, 5.2134146E-001
 4.2900570E+001, 8.4819017E+003,-2.5962573E+003,-5.8869601E+003,-7.9392079E+000, 5.1164745E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8210468E+001,-4.1384536E+000, 5.2134146E-001
 4.3200310E+001, 8.8671458E+003,-2.7365369E+003,-6.1101576E+003,-1.2856558E+001, 5.3583950E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.0481091E-001, 1.2953142E+001, 5.2134146E-001
 4.3500454E+001, 8.8215165E+003,-2.7170819E+003,-6.1307792E+003,-2.7169615E+001, 5.3403681E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2002193E+001,-4.8173870E+001, 5.2134146E-001
 4.3801598E+001, 7.8569311E+003,-2.3702935E+003,-5.5702535E+003,-8.1768610E+000, 4.7321061E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.5495680E+001,-8.7060649E+001, 5.2134146E-001
 4.4101002E+001, 7.6773649E+003,-2.3466424E+003,-5.2727236E+003,-8.8382530E+000, 4.5939824E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.9863283E+001, 5.3754702E+001, 5.2134146E-001
 4.4400700E+001, 8.2515687E+003,-2.5810247E+003,-5.6882545E+003,-1.8908750E+001, 4.4807168E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5870814E+000,-3.2138614E+001, 5.2134146E-001
