Time,TC2_BED2_0-03mBC,TC2_BED2_0-30mBC,TC2_BED2_0-61mBC,TC2_BED2_0-91mBC,TC2_BED2_1-22mBC,TC2_BED2_1-52mBC,TC2_BED2_1-83mBC,TC2_BED2_2-13mBC,TC3_BED3_0-03mBC,TC3_BED3_0-30mBC,TC3_BED3_0-61mBC,TC3_BED3_0-91mBC,TC3_BED3_1-22mBC,TC3_BED3_1-52mBC,TC3_BED3_1-83mBC,TC3_BED3_2-13mBC,TC4_BED4_0-03mBC,TC4_BED4_0-30mBC,TC4_BED4_0-61mBC,TC4_BED4_0-91mBC,TC4_BED4_1-22mBC,TC4_BED4_1-52mBC,TC4_BED4_1-83mBC,TC4_BED4_2-13mBC,TC_DataRoom,DP_OBW_1-2mBC,DP_CBW_1-2mBC,,,
49,24.237388,19.536284,18.202699,16.871638,15.532324,15.507928,15.126152,13.255089,52.431035,45.064282,38.936637,36.607895,19.686513,14.462149,10.65813,15.759082,22.168961,20.323995,17.668696,16.745851,15.959068,15.167001,15.187744,14.021166,13.358771,-0.390227872,-0.50874624,,,
50,24.961285,20.187441,18.132269,16.915318,15.728337,15.589764,15.169883,13.298863,54.908231,44.624313,39.054102,37.099387,19.35016,14.925381,10.816678,15.840884,22.13664,20.253723,17.750391,16.675348,15.850398,15.172617,15.193361,14.064911,13.587662,-0.876184032,-0.53919936,,,
51,25.473565,21.081447,18.191491,16.898488,15.711493,15.534808,15.114917,13.20569,60.083169,44.162291,39.336129,37.381824,19.25736,15.213525,10.838009,15.824041,22.15779,20.236939,17.581389,16.658516,15.909746,15.193869,15.062165,14.009923,13.315002,-0.359874272,-0.29617152,,,
52,26.962509,21.742923,18.284333,16.915318,15.842563,15.475432,15.207996,13.337011,65.793391,45.811807,40.545916,38.556047,19.274158,15.573416,10.816678,15.955158,22.250355,20.367521,17.674303,16.751461,16.078956,15.32502,15.231473,14.064911,13.179238,0.004567968,0.05314368,,,
53,28.001582,22.21893,18.647606,16.974627,15.863794,15.534808,15.229258,13.32014,69.189242,51.052405,42.465962,39.994335,19.637328,15.899531,10.990911,16.128754,22.006154,20.161066,17.505291,16.506275,15.833555,15.231971,15.100281,14.124292,13.097307,0.186789088,-0.40245888,,,
54,28.206664,22.690354,19.234312,17.029522,15.880637,15.551654,15.207996,13.337011,68.875362,55.423413,44.341482,40.83064,20.375718,16.297335,10.893131,16.488311,21.947089,20.064036,17.560162,16.485047,15.812301,15.248821,15.155247,14.255514,13.020991,0.125982368,-0.50874624,,,
55,28.120192,22.868581,19.792751,17.132499,15.983623,15.578534,15.196763,13.325764,67.800755,59.278823,45.407533,42.271582,21.123636,16.476553,11.072989,16.66745,21.898001,20.014903,17.548948,16.43576,15.762974,15.237588,15.144013,14.358625,12.873965,0.034921568,-0.29617152,,,
56,28.464835,23.177123,20.633322,17.442578,16.065374,15.546039,15.278603,13.369536,67.952906,62.629689,47.823722,43.950167,21.887832,16.71066,11.155063,16.63499,21.713998,20.05844,17.554555,16.365241,15.806687,15.243204,15.0734,14.326129,12.792019,0.338656608,-0.32652512,,,
57,28.879128,23.442145,21.316041,17.708931,16.141508,15.546039,15.202379,13.293239,72.133627,63.952042,50.78501,45.769429,22.153225,16.824892,11.269722,16.787264,21.713998,19.982557,17.516506,16.327174,15.88288,15.243204,15.035284,14.440474,12.721307,-0.056139232,-0.38723232,,,
58,29.217974,23.972,21.770963,17.937189,16.141508,15.584149,15.240492,13.369536,74.333301,63.841867,53.334472,48.178828,22.342754,17.091397,11.384373,16.711129,21.676076,19.982557,17.554555,16.289106,15.920975,15.205103,15.0734,14.5167,12.563015,-0.025785632,-0.64548672,,,
